fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,photos,photos_caption,photos_url,tree_species,diameter,condition,condition_other,more_information,growing_space_limitations_or_conflicts,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
52bd7320-5ec0-41ca-8fad-f238ce33bc08,2019-07-09 16:03:43 UTC,2019-07-09 16:05:59 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:20 UTC,2019-07-09 17:13:20 UTC,1,Inventoried,,,42.9961522859386,-85.7394886761904,POINT (-85.7394886761904 42.9961522859386),,,,Ironwood,2.7,Healthy,,,None,,,,,
94dacf6d-c40c-4866-815d-9f9374e9a619,2019-07-09 16:07:35 UTC,2019-07-09 16:10:47 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:21 UTC,2019-07-09 17:13:21 UTC,1,Inventoried,,,42.9960037,-85.7393888,POINT (-85.7393888 42.9960037),,,,American Beech,13.2,Insects,,Multiple carvings,None ,176.0,9.506,,,
4483dce2-82f4-408e-b220-20c5174d7740,2019-07-15 14:40:23 UTC,2019-07-15 14:46:56 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:24 UTC,2019-07-23 14:22:24 UTC,1,Inventoried,,,42.9962002,-85.7399016,POINT (-85.7399016 42.9962002),"05753d8f-1c8a-4d50-aec3-e2c759a03aaf,79ead93a-ded5-4cd5-a6ed-d8d61ed5a004",",",https://web.fulcrumapp.com/photos/view?photos=05753d8f-1c8a-4d50-aec3-e2c759a03aaf%2C79ead93a-ded5-4cd5-a6ed-d8d61ed5a004,American Beech,8.5,Healthy,,,None ,188.0,3.0,,,
e6ab20b9-c081-4433-9ee9-a66f0d5f3c65,2019-07-15 14:48:03 UTC,2019-07-23 02:21:20 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:25 UTC,2019-07-23 14:22:25 UTC,1,Inventoried,,,42.9962424,-85.7397301,POINT (-85.7397301 42.9962424),,,,Sugar Maple,12.7,"Healthy,Soil conditions",,,Pathway ,183.0,3.0,,,
6784d8f2-5054-4894-90d9-01558b701370,2019-07-15 14:53:02 UTC,2019-07-15 14:55:58 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:25 UTC,2019-07-23 14:22:25 UTC,1,Inventoried,,,42.9961922569146,-85.7397619262338,POINT (-85.7397619262338 42.9961922569146),,,,Sugar Maple,10.6,"Healthy,Insects",,,None ,,,,,
2c78f536-0e0d-479f-8664-26e0eb1d8450,2019-07-15 14:56:36 UTC,2019-07-15 15:00:25 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:26 UTC,2019-07-23 14:22:26 UTC,1,Inventoried,,,42.9961863716191,-85.7398460805416,POINT (-85.7398460805416 42.9961863716191),,,,American Beech,16.7,Healthy,,,None,,,,,
7be5892d-9704-4779-962c-bc8dea55ff68,2019-07-15 15:05:22 UTC,2019-07-15 15:06:15 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:26 UTC,2019-07-23 14:22:26 UTC,1,Inventoried,,,42.9961983874301,-85.7398494333029,POINT (-85.7398494333029 42.9961983874301),,,,Sugar Maple,27.7,"Healthy,Viruses",,,None,,,,,
d16f2e5b-8801-43bf-9016-5793c764a4cb,2019-07-15 15:28:30 UTC,2019-07-15 15:31:34 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:26 UTC,2019-07-23 14:22:26 UTC,1,Inventoried,,,42.9965664624596,-85.7397716492414,POINT (-85.7397716492414 42.9965664624596),,,,American Beech,11.9,Healthy,,,None,,,,,
23a3dab8-3423-4b56-beb9-fb835804091b,2019-07-15 15:32:17 UTC,2019-07-23 02:31:14 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:27 UTC,2019-07-23 14:22:27 UTC,1,Inventoried,,,42.9965917200257,-85.7396120578051,POINT (-85.7396120578051 42.9965917200257),,,,American Beech,7.2,"Mechanical agents,Mites",,Multiple dead branches. Many carvings in the tree ,Wood barrier obstructing root space ,,,,,
ddcb2918-5f76-404a-a158-30b329f4a767,2019-07-15 15:35:51 UTC,2019-07-23 02:21:10 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:22:27 UTC,2019-07-23 14:22:27 UTC,1,Inventoried,,,42.9965797042916,-85.7395718246698,POINT (-85.7395718246698 42.9965797042916),,,,American Beech,8.3,Mechanical agents,,Many dead branches. Only alive at the top of tree,,,,,,
99e9adc7-2729-45a3-811a-fb378f9bf3cb,2019-07-23 14:33:22 UTC,2019-07-23 14:43:36 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 14:42:39 UTC,2019-07-23 14:42:39 UTC,1,Inventoried,,,42.9957477,-85.739615,POINT (-85.739615 42.9957477),,,,Sugar Maple,7.9,Viruses,,Multiple gnarled parts despite young age,,194.100006103516,44.66,,,
590db641-920e-4254-85d8-3d160e2d2825,2019-07-23 15:12:09 UTC,2019-07-23 15:15:07 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 15:14:10 UTC,2019-07-23 15:14:10 UTC,1,Inventoried,,,42.9957477,-85.739615,POINT (-85.739615 42.9957477),,,,Sugar Maple,9.7,Weather,,Large branch snapped and hanging off tree,None,193.700012207031,31.4,,,
1f9fe8e0-7032-4209-b47a-d99ecc0e607c,2019-07-23 15:17:12 UTC,2019-07-23 15:20:42 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 15:19:44 UTC,2019-07-23 15:19:44 UTC,1,Inventoried,,,42.9957477,-85.739615,POINT (-85.739615 42.9957477),,,,Sugar Maple,9.3,"Healthy,Weather",,,None,193.700012207031,35.14,,,
5d3edac8-bc37-4466-8956-76ec4cc26858,2019-07-23 15:20:49 UTC,2019-07-23 15:24:36 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 15:23:38 UTC,2019-07-23 15:23:38 UTC,1,Inventoried,,,42.9959852,-85.7401506,POINT (-85.7401506 42.9959852),,,,Red Oak,17.6,"Healthy,Weather",,,None,196.0,7.946,,,
8d4a570c-dd72-40c8-a0f7-a4358eb24c98,2019-07-23 15:26:57 UTC,2019-07-23 15:29:06 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 15:28:08 UTC,2019-07-23 15:28:08 UTC,1,Inventoried,,,42.9957477,-85.739615,POINT (-85.739615 42.9957477),,,,Red Oak,14.6,Healthy,,,None,193.700012207031,56.1,,,
c46cc815-a0bf-4cfe-a2ea-1c3ccb83e46c,2019-07-23 15:30:11 UTC,2019-07-23 15:32:23 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 15:31:24 UTC,2019-07-23 15:31:24 UTC,1,Inventoried,,,42.9957477,-85.739615,POINT (-85.739615 42.9957477),,,,Sugar Maple,9.2,Healthy,,,"Pathway, larger trees",193.700012207031,39.56,,,
0961c31c-db35-4363-8a46-31c4c79ee288,2019-07-23 15:38:24 UTC,2019-07-23 15:39:35 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-23 15:38:37 UTC,2019-07-23 15:38:37 UTC,1,Inventoried,,,42.9960407,-85.740183,POINT (-85.740183 42.9960407),,,,Red Oak,25.6,"Bacteria,Viruses",,Large but dying tree,Other tree right next to it,214.0,32.0,,,0.0
048318d9-86c5-484d-846f-b06f5d352460,2019-07-29 15:50:32 UTC,2019-07-29 15:55:17 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-29 15:54:22 UTC,2019-07-29 15:54:22 UTC,1,Inventoried,,,42.9961532668217,-85.7399262115359,POINT (-85.7399262115359 42.9961532668217),"800b2b5c-a15d-4812-9eef-f64bb995ef73,b142a789-9c09-414f-b194-839a34f2b8ed",",",https://web.fulcrumapp.com/photos/view?photos=800b2b5c-a15d-4812-9eef-f64bb995ef73%2Cb142a789-9c09-414f-b194-839a34f2b8ed,Sugar Maple,4.7,"Healthy,Mites,Weather",,,None,,,,,
89897b7f-02dc-400c-b5ee-c8262f2e98bc,2019-07-30 14:21:14 UTC,2019-08-21 01:55:57 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-30 14:33:02 UTC,2019-08-21 01:55:57 UTC,4,Inventoried,,,42.996015943,-85.740121007,POINT (-85.740121007 42.996015943),"68180c50-f90f-46ba-b4f3-b03313a355b2,d1d5f230-c14c-4569-9ffd-4b0543ac771f,1b1144d5-4254-4a24-8fd6-218bcd26ffc6",",,",https://web.fulcrumapp.com/photos/view?photos=68180c50-f90f-46ba-b4f3-b03313a355b2%2Cd1d5f230-c14c-4569-9ffd-4b0543ac771f%2C1b1144d5-4254-4a24-8fd6-218bcd26ffc6,Norway Maple,6.8,Healthy,,,None,,,,,
dea8f959-c460-4a32-af4c-d247c0371e30,2019-07-30 14:35:35 UTC,2019-08-21 01:55:05 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-30 14:34:38 UTC,2019-08-21 01:55:05 UTC,6,Inventoried,,,42.9957476,-85.7396099,POINT (-85.7396099 42.9957476),,,,Norway Maple,7.6,Weather,Space,Not healthy. Broken branches and dead portion of tree.,Other tree taking up space,193.700012207,60.0,,,
e9ac754b-d8c5-42b0-b615-ab216859c90f,2019-07-30 14:49:18 UTC,2019-07-30 14:52:29 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-30 14:51:33 UTC,2019-07-30 14:51:33 UTC,1,Inventoried,,,42.996118690681,-85.7400445640087,POINT (-85.7400445640087 42.996118690681),"cba1831a-7047-4f0a-84aa-e4c474ab42f1,052a40eb-50df-444b-8fb6-422e61d3ae1f",",",https://web.fulcrumapp.com/photos/view?photos=cba1831a-7047-4f0a-84aa-e4c474ab42f1%2C052a40eb-50df-444b-8fb6-422e61d3ae1f,Slippery Elm,,Weather,Space,Alongside a small tree. No others of its species in the area ,Other tree,,,,,
9fec0432-13c9-47bc-b33b-7c19c4383e1a,2019-07-30 15:23:54 UTC,2019-07-30 15:24:45 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-30 15:23:47 UTC,2019-07-30 15:23:47 UTC,1,Inventoried,,,42.9960012297454,-85.7402135431767,POINT (-85.7402135431767 42.9960012297454),,,,Swamp White Oak,14.8,Healthy,,,None,,,,,
3748503b-de01-40a7-921c-62d16ccd212b,2019-07-30 15:25:57 UTC,2019-07-30 15:30:04 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-30 15:29:04 UTC,2019-07-30 15:29:04 UTC,1,Inventoried,,,42.9957476,-85.7396099,POINT (-85.7396099 42.9957476),,,,Northern Red Oak,5.2,Healthy,,,Another tree,193.700012207031,39.56,,,
83ac9372-054d-48ad-8843-f049f951aca6,2019-08-07 16:26:05 UTC,2019-08-17 19:37:32 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-07 16:25:40 UTC,2019-08-17 19:37:22 UTC,5,Inventoried,,,42.9959898,-85.7402251,POINT (-85.7402251 42.9959898),"13a80bb4-c1fd-4ce0-b19f-ed062fb3d291,b1c34913-bae8-4af8-bffd-2e20e955c589",",",https://web.fulcrumapp.com/photos/view?photos=13a80bb4-c1fd-4ce0-b19f-ed062fb3d291%2Cb1c34913-bae8-4af8-bffd-2e20e955c589,Norway Maple,17.7,"Healthy,Weather",,,None,196.0,4.213,,,0.0
697e3335-7cfb-4589-88ac-b8f0342864fe,2019-08-07 16:37:37 UTC,2019-08-21 01:41:07 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-07 16:38:33 UTC,2019-08-21 01:41:07 UTC,5,Inventoried,,,42.9957504,-85.7396225,POINT (-85.7396225 42.9957504),,,,Norway Maple,9.2,"Healthy,Weather",,,Larger trees,193.700012207,64.099,,,
4d950855-61be-4d4b-995e-ac3393da5a63,2019-08-07 16:47:16 UTC,2019-08-21 01:41:48 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-07 16:50:59 UTC,2019-08-21 01:41:48 UTC,4,Inventoried,,,42.9957504,-85.7396225,POINT (-85.7396225 42.9957504),798dd695-f7aa-406d-93c5-c051a59d78d2,,https://web.fulcrumapp.com/photos/view?photos=798dd695-f7aa-406d-93c5-c051a59d78d2,Norway Maple,5.3,"Healthy,Insects",,,None,193.700012207,35.14,,,
9708aa19-fd72-4857-973c-679093fe2526,2019-08-07 16:52:49 UTC,2019-08-21 01:42:14 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-07 16:53:30 UTC,2019-08-21 01:42:17 UTC,3,Inventoried,,,42.9957504,-85.7396225,POINT (-85.7396225 42.9957504),,,,Norway Maple,5.9,"Healthy,Insects",,,Larger trees,193.700012207,28.34,,,
8f4785be-bec9-4c68-b199-6123dc83be83,2019-08-07 17:04:36 UTC,2019-08-21 01:49:35 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-07 17:10:08 UTC,2019-08-21 01:49:35 UTC,5,Inventoried,,,42.9957504,-85.7396225,POINT (-85.7396225 42.9957504),"2b78faf5-0e9c-4297-b7f7-ef5d6538d82a,c31b087a-7be1-4692-b341-a48fcec92ebb",",",https://web.fulcrumapp.com/photos/view?photos=2b78faf5-0e9c-4297-b7f7-ef5d6538d82a%2Cc31b087a-7be1-4692-b341-a48fcec92ebb,Flowering Dogwoods,12.3,"Healthy,Insects",,,None,193.700012207,39.56,,,
bbab5931-f1a5-406a-b164-b6b166606d6a,2019-08-08 16:05:38 UTC,2019-08-08 16:07:52 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-08 16:06:50 UTC,2019-08-08 16:06:50 UTC,1,Inventoried,,,42.9957503,-85.73962,POINT (-85.73962 42.9957503),,,,Northern Red Oak,10.98,"Healthy,Insects",,,None,183.900009155273,52.4,,,
d72fd6d9-b748-4b6c-bcd3-94f7e8a23722,2019-08-08 16:10:46 UTC,2019-08-21 01:49:58 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-08 16:13:28 UTC,2019-08-21 01:49:58 UTC,3,Inventoried,,,42.9960289,-85.7402664,POINT (-85.7402664 42.9960289),,,,Flowering Dogwoods,15.1,Healthy,,,None ,198.0,23.0,,,
eb1ff7dd-a0c6-4f97-af0f-5038d337e94d,2019-08-08 16:15:20 UTC,2019-08-21 01:42:39 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-08 16:16:31 UTC,2019-08-21 01:42:39 UTC,3,Inventoried,,,42.9958072,-85.7403578,POINT (-85.7403578 42.9958072),,,,Norway Maple,10.03,Healthy,,,None,216.0,27.0,,,
788bb987-fba8-4524-9a19-43dd6bfe454c,2019-08-08 16:18:40 UTC,2019-08-21 01:50:20 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-08 16:20:13 UTC,2019-08-21 01:50:21 UTC,3,Inventoried,,,42.9957503,-85.73962,POINT (-85.73962 42.9957503),,,,Flowering Dogwoods,11.8,"Healthy,Viruses,Weather",,,None,183.900009155,64.099,,,
8e5ee76d-5913-441c-b77d-5f48441d580d,2019-08-08 16:23:40 UTC,2019-08-08 16:24:33 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-08-08 16:23:32 UTC,2019-08-08 16:23:32 UTC,1,Inventoried,,,42.9957682,-85.7397027,POINT (-85.7397027 42.9957682),,,,Sugar Maple,7.8,"Healthy,Viruses,Weather",,,None,183.900009155273,25.763,,,
